MARCA TEMPORAL	PAÍS	UNIVERSIDAD	OTRA UNIVERSIDAD	GENERO UNIVERSIDAD	LA PANDEMIA SOBRECARGÓ MI TRABAJO COMO PROFESOR	¿ESTÁ DE ACUERDO CON LA MODIFICACIÓN DEL MÉTODO DE ENSEÑANZA PARA LAS CLASES VIRTUALES?	LA CONCENTRACIÓN O ATENCIÓN EN EL TRABAJO FUERON ALTERADOS POR LA PANDEMIA.	LA PANDEMIA CAMBIÓ MI CURIOSIDAD Y MOTIVACIÓN CIENTÍFICA.	LA INTERACCIÓN VIRTUAL CON LOS ESTUDIANTES PUEDE CONTRIBUIR A SU SALUD MENTAL	¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?	¿CONSIDERA QUE EL EQUILIBRIO MENTAL, CONTRIBUYE AL RENDIMIENTO ACADÉMICO EN EL AULA DE CLASES?	HE TENIDO QUE INTERACTUAR DURANTE LA PANDEMIA, CON PERSONAS QUE PRESENTAN FACTORES DE RIESGO MENTAL.	¿CONSIDERA QUE LOS PROCESOS DE PREVENCIÓN, DISMINUYEN LA CANTIDAD DE CASOS DE ALTERACIONES MENTALES DURANTE LA PANDEMIA?	HE VISTO UN AVANCE SIGNIFICATIVO DURANTE LA PANDEMIA EN LOS TEMAS DE SALUD MENTAL, COMO UNA PRIORIDAD GLOBAL	HE USADO ESTRATEGIAS DE AUTOCUIDADO MENTAL (MEDITACIÓN, ACTIVIDAD FÍSICA, ETC), PORQUE CONSIDERO QUE CONTRIBUYEN A LA SALUD MENTAL.	CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?
2021-06-15 12:52:55.321757	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		FEMENINO	5	2	5	2	3	4	4	3	3	3	4	3
2021-06-15 12:58:46.180767	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		FEMENINO	1	5	5	4	4	4	4	1	5	2	4	2
2021-06-15 13:03:02.518151	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO		MASCULINO	4	4	5	2	4	5	4	3	4	1	4	2
2021-06-15 13:12:23.350258	ARGENTINA	UNIVERSIDAD NACIONAL DE ENTRE RIOS		MASCULINO	3	4	4	4	3	5	5	2	5	4	4	3
2021-06-15 15:08:04.486551	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		FEMENINO	4	4	4	1	4	5	5	3	5	1	3	3
2021-06-15 13:16:05.421687	ARGENTINA	UNIVERSIDAD NACIONAL DE LUJAN		FEMENINO	4	4	4	3	3	4	4	3	4	3	4	1
2021-06-15 16:58:14.284999	ARGENTINA	UNIVERSIDAD CATÓLICA DE SANTIAGO DEL ESTERO		FEMENINO	5	5	5	3	4	5	5	2	4	2	2	3
2021-06-15 15:10:37.823565	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	4	3	5	4	4	5	5	2	1	1	4	3
2021-06-15 13:19:16.413393	BRASIL	CENTRO UNIVERSITARIO DO INSTITUTO MAUA DE TECNOLOGIA		FEMENINO	1	1	2	2	4	4	5	3	5	4	5	5
2021-06-15 13:19:44.069849	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		MASCULINO	4	4	5	3	5	5	5	3	3	4	5	2
2021-06-15 15:18:39.849464	ARGENTINA	UNIVERSIDAD NACIONAL DEL NORDESTE		FEMENINO	2	4	1	1	2	4	2	3	3	4	2	1
2021-06-15 13:19:55.262041	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		FEMENINO	5	2	5	4	4	5	5	5	3	1	4	4
2021-06-15 17:10:55.656260	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		FEMENINO	5	4	5	1	2	5	5	2	5	3	4	4
2021-06-15 13:20:09.092064	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		FEMENINO	4	4	5	3	4	5	5	5	3	4	5	4
2021-06-15 15:29:04.480912	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		FEMENINO	5	5	5	5	5	5	5	4	5	2	3	1
2021-06-15 13:20:33.009556	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO CUARTO		MASCULINO	5	2	5	5	2	5	5	2	3	2	5	3
2021-06-15 15:31:54.566026	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		FEMENINO	5	3	5	3	4	5	5	2	4	2	5	3
2021-06-15 17:15:54.356442	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	5	3	5	4	3	5	4	1	3	2	4	3
2021-06-15 13:20:52.887164	COLOMBIA	UNIVERSIDAD SANTO TOMAS		FEMENINO	4	3	4	4	3	4	5	3	4	4	4	2
2021-06-15 15:39:12.466617	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		FEMENINO	4	5	4	3	4	5	5	1	4	4	3	3
2021-06-15 17:18:44.195064	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	4	3	2	4	4	2	4	1	3	1	3	3
2021-06-15 15:55:28.775350	ARGENTINA	UNIVERSIDAD NACIONAL DEL LITORAL		MASCULINO	5	4	5	4	5	5	5	3	1	3	4	1
2021-06-15 13:21:53.154010	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		MASCULINO	4	4	4	3	4	4	4	2	4	3	4	4
2021-06-15 17:32:36.558929	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	5	4	4	4	4	5	5	2	4	3	4	1
2021-06-15 13:22:44.552712	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		MASCULINO	5	2	5	3	2	5	5	4	5	2	3	3
2021-06-15 17:39:47.986955	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	5	3	5	3	3	5	1	4	5	3	3	3
2021-06-15 16:38:43.574338	ARGENTINA	UNIVERSIDAD NACIONAL DE CUYO		FEMENINO	5	4	4	3	2	5	5	3	5	3	4	1
2021-06-15 13:24:42.789998	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		FEMENINO	5	4	5	5	5	5	5	4	5	1	5	3
2021-06-15 16:54:04.488987	ARGENTINA	UNIVERSIDAD NACIONAL DEL LITORAL		MASCULINO	4	2	4	3	4	4	5	1	5	2	3	1
2021-06-15 17:50:11.694180	ARGENTINA	UNIVERSIDAD NACIONAL DEL LITORAL		FEMENINO	5	2	5	5	4	5	5	2	2	2	3	3
2021-06-15 17:58:05.972958	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	5	5	2	4	3	3	4	3	4	2	3	3
2021-06-15 17:59:33.031259	ARGENTINA	UNIVERSIDAD NACIONAL DEL LITORAL		FEMENINO	5	3	4	5	4	4	5	3	4	2	4	4
2021-06-15 18:10:48.727466	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO		FEMENINO	3	5	3	5	5	4	4	3	4	4	5	3
2021-06-15 18:12:07.046266	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	5	1	3	1	3	3	4	1	3	3	1	3
2021-06-15 13:26:34.421495	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		MASCULINO	5	4	5	4	4	5	5	3	4	1	3	3
2021-06-15 15:12:26.670568	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		FEMENINO	5	2	4	4	2	4	5	2	4	2	4	3
2021-06-15 15:26:59.693145	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	4	4	5	5	3	5	5	2	4	4	5	4
2021-06-15 13:30:26.814175	ARGENTINA		NINGUNA	FEMENINO	5	2	5	2	1	3	5	5	3	3	4	1
2021-06-15 15:35:51.772872	ARGENTINA	UNIVERSIDAD NACIONAL DE RIO NEGRO		FEMENINO	5	4	5	3	4	5	5	1	4	4	1	3
2021-06-15 15:39:37.274439	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	4	5	2	1	1	4	5	4	4	4	4	4
