MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;LA PANDEMIA EXTENDIÓ MIS HORAS DE TRABAJO;DURANTE LA PANDEMIA MODIFIQUÉ LAS RUTINAS (INTERACCIÓN, ATENCIÓN, REUNIONES), DENTRO DE MI TRABAJO;LA CONCENTRACIÓN O ATENCIÓN EN EL TRABAJO FUERON ALTERADOS POR LA PANDEMIA.;HA PRESENTADO DIFICULTADES EN LAS RELACIONES LABORALES CON SU SUPERIOR DURANTE LA PANDEMIA;¿CONSIDERA QUE LA INTERACCIÓN VIRTUAL CON SUS JEFES, PUEDE CONTRIBUIR A SU SALUD MENTAL?.;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;CONSIDERO QUE EL EQUILIBRIO MENTAL, CONTRIBUYE AL RENDIMIENTO LABORAL. *;HE TENIDO QUE INTERACTUAR DURANTE LA PANDEMIA, CON PERSONAS QUE PRESENTAN FACTORES DE RIESGO MENTAL.;¿CONSIDERA QUE LOS PROCESOS DE PREVENCIÓN, DISMINUYEN EL NÚMERO DE CASOS DE ALTERACIONES MENTALES DURANTE LA PANDEMIA?;HE VISTO UN AVANCE SIGNIFICATIVO DURANTE LA PANDEMIA EN LOS TEMAS DE SALUD MENTAL, COMO UNA PRIORIDAD GLOBAL;HE USADO ESTRATEGIAS DE AUTOCUIDADO MENTAL (MEDITACIÓN, ACTIVIDAD FÍSICA, ETC), PORQUE CONSIDERO QUE CONTRIBUYEN A LA SALUD MENTAL. *;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?
2021-06-16 09:32:04.439356;ARGENTINA;UNIVERSIDAD NACIONAL DEL LITORAL;;FEMENINO;5;5;4;5;2;5;5;2;4;4;5;2
2021-06-16 11:01:22.936214;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;1;5;1;1;3;5;5;1;5;5;5;3
2021-06-18 08:27:20.765351;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;4;5;5;1;3;4;3;1;2;3;5;2
2021-06-16 11:22:59.108735;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;5;5;3;1;5;5;5;4;5;5;1
2021-06-16 13:27:05.254064;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;4;2;2;4;4;3;4;4;4;2
2021-06-16 13:31:30.530829;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;5;4;5;3;3;5;5;3;3;5;5;3
2021-06-16 14:21:11.788866;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;3;3;4;2;3;4;4;2;4;3;4;4
2021-06-16 14:21:29.326164;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;4;4;1;3;4;4;3;4;3;3;3
2021-06-16 15:27:47.743581;COLOMBIA;;UNIVERSIDAD LIBRE DE COLOMBIA;MASCULINO;5;5;5;5;5;5;5;5;5;1;5;5
2021-06-17 06:38:09.958160;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;4;1;5;5;5;1;5;2;2;4
2021-06-17 06:46:36.080944;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;5;5;4;1;4;5;4;1;2;4;4;4
2021-06-17 06:51:13.251172;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;4;2;3;5;5;3;4;2;5;3
2021-06-16 16:44:19.631943;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;4;5;3;5;5;5;3;3;5;5;1
2021-06-16 16:44:19.810184;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;FEMENINO;5;5;5;1;2;5;5;2;5;1;5;2
2021-06-16 16:53:31.522354;ARGENTINA;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;;MASCULINO;5;5;5;1;1;1;5;1;5;3;5;3
2021-06-16 18:04:09.670253;COLOMBIA;;UNIVERSIDAD LIBRE DE COLOMBIA;FEMENINO;5;4;4;5;4;4;4;2;3;3;4;3
2021-06-16 20:08:17.765695;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;3;4;3;4;5;5;4;4;2;4;3
